Date,Open,High,Low,Close,Adj,Volume,Currency
"Oct 15, 2021",0.999977,1.000589,0.998967,0.999152,0.999152,"89,456,766,433",USDT-USD
"Oct 14, 2021",1.000062,1.000298,0.999683,1.000034,1.000034,"68,955,958,208",USDT-USD
"Oct 13, 2021",0.999920,1.000757,0.999485,1.000097,1.000097,"78,117,249,743",USDT-USD
"Oct 12, 2021",1.000619,1.001032,0.999979,1.000096,1.000096,"73,275,476,508",USDT-USD
"Oct 11, 2021",1.000952,1.001145,0.999828,1.000696,1.000696,"75,741,431,317",USDT-USD
"Oct 10, 2021",1.000128,1.001126,0.999466,1.001018,1.001018,"69,927,661,418",USDT-USD
"Oct 9, 2021",1.000004,1.000410,0.999915,1.000046,1.000046,"67,391,135,102",USDT-USD
"Oct 8, 2021",1.000406,1.000466,0.999790,1.000116,1.000116,"79,865,522,045",USDT-USD
"Oct 7, 2021",1.000477,1.001149,0.999555,1.000375,1.000375,"91,580,420,731",USDT-USD
"Oct 6, 2021",1.000456,1.001198,0.999343,1.000317,1.000317,"96,553,805,180",USDT-USD
"Oct 5, 2021",0.999858,1.001039,0.999486,1.000440,1.000440,"76,210,707,722",USDT-USD
"Oct 4, 2021",1.000259,1.000584,0.999391,0.999838,0.999838,"74,166,327,976",USDT-USD
"Oct 3, 2021",1.000422,1.000610,0.999723,1.000201,1.000201,"61,784,201,197",USDT-USD
"Oct 2, 2021",1.000107,1.000554,1.000003,1.000284,1.000284,"67,747,297,412",USDT-USD
"Oct 1, 2021",1.000115,1.000414,0.999795,1.000178,1.000178,"81,411,630,527",USDT-USD
"Sep 30, 2021",1.000382,1.000516,0.999537,1.000155,1.000155,"65,935,536,533",USDT-USD
"Sep 29, 2021",1.000403,1.000653,0.999745,1.000282,1.000282,"64,767,185,195",USDT-USD
"Sep 28, 2021",1.000461,1.000839,1.000089,1.000298,1.000298,"66,373,042,997",USDT-USD
"Sep 27, 2021",1.000751,1.001355,0.999908,1.000513,1.000513,"70,088,186,310",USDT-USD
"Sep 26, 2021",1.000905,1.001352,1.000420,1.000725,1.000725,"78,196,884,599",USDT-USD
"Sep 25, 2021",1.000904,1.001678,1.000373,1.000989,1.000989,"66,583,739,947",USDT-USD
"Sep 24, 2021",1.000594,1.001440,0.999912,1.000820,1.000820,"93,076,113,024",USDT-USD
"Sep 23, 2021",1.000043,1.001359,0.999874,1.000508,1.000508,"71,255,677,560",USDT-USD
"Sep 22, 2021",1.000050,1.000977,0.999953,1.000040,1.000040,"80,708,278,656",USDT-USD
"Sep 21, 2021",1.000048,1.000533,0.999825,1.000088,1.000088,"97,283,217,005",USDT-USD
"Sep 20, 2021",1.000342,1.000536,0.999814,0.999916,0.999916,"100,128,036,827",USDT-USD
"Sep 19, 2021",0.999490,1.001837,0.998187,1.000442,1.000442,"55,435,472,929",USDT-USD
"Sep 18, 2021",0.999625,1.001030,0.999092,0.999473,0.999473,"60,077,519,832",USDT-USD
"Sep 17, 2021",1.000294,1.001038,0.999536,0.999648,0.999648,"67,211,526,457",USDT-USD
"Sep 16, 2021",1.000332,1.000687,1.000116,1.000451,1.000451,"76,304,339,417",USDT-USD
"Sep 15, 2021",1.000516,1.000863,0.999988,1.000460,1.000460,"67,018,323,452",USDT-USD
"Sep 14, 2021",1.000313,1.001146,1.000092,1.000481,1.000481,"77,354,384,513",USDT-USD
"Sep 13, 2021",0.999625,1.000731,0.999454,1.000235,1.000235,"97,652,941,470",USDT-USD
"Sep 12, 2021",1.001041,1.001154,0.999271,0.999698,0.999698,"73,080,229,538",USDT-USD
"Sep 11, 2021",1.000298,1.001119,0.999655,1.000979,1.000979,"77,837,822,625",USDT-USD
"Sep 10, 2021",1.000172,1.000704,0.999881,1.000320,1.000320,"96,977,805,029",USDT-USD
"Sep 9, 2021",1.000329,1.000878,1.000023,1.000146,1.000146,"99,828,369,723",USDT-USD
"Sep 8, 2021",1.000690,1.000735,1.000095,1.000240,1.000240,"126,616,185,419",USDT-USD
"Sep 7, 2021",1.000024,1.001340,0.999679,1.000493,1.000493,"163,058,669,007",USDT-USD
"Sep 6, 2021",1.000288,1.000859,0.999598,0.999872,0.999872,"95,052,134,923",USDT-USD
"Sep 5, 2021",1.000512,1.000711,1.000059,1.000261,1.000261,"80,204,406,658",USDT-USD
"Sep 4, 2021",1.000295,1.000828,1.000122,1.000384,1.000384,"84,730,751,345",USDT-USD
"Sep 3, 2021",1.000380,1.000555,1.000032,1.000220,1.000220,"94,333,024,390",USDT-USD
"Sep 2, 2021",1.000352,1.000680,0.999828,1.000281,1.000281,"85,187,889,141",USDT-USD
"Sep 1, 2021",1.000632,1.000846,0.999974,1.000321,1.000321,"86,157,816,302",USDT-USD
"Aug 31, 2021",1.000618,1.000902,1.000126,1.000529,1.000529,"86,200,102,965",USDT-USD
"Aug 30, 2021",1.001098,1.001369,1.000193,1.000508,1.000508,"72,843,224,247",USDT-USD
"Aug 29, 2021",1.000575,1.001579,1.000136,1.001225,1.001225,"61,330,496,817",USDT-USD
"Aug 28, 2021",1.000405,1.001388,0.999920,1.000627,1.000627,"62,963,190,536",USDT-USD
"Aug 27, 2021",1.000399,1.001171,1.000119,1.000355,1.000355,"77,373,122,984",USDT-USD
"Aug 26, 2021",1.000233,1.000711,1.000071,1.000430,1.000430,"75,138,574,324",USDT-USD
"Aug 25, 2021",1.000429,1.000530,1.000062,1.000359,1.000359,"78,253,794,427",USDT-USD
"Aug 24, 2021",1.000764,1.001119,0.999989,1.000263,1.000263,"82,298,987,461",USDT-USD
"Aug 23, 2021",1.000872,1.001146,1.000033,1.000801,1.000801,"78,500,144,394",USDT-USD
"Aug 22, 2021",1.000669,1.001938,0.999831,1.000879,1.000879,"63,054,090,156",USDT-USD
"Aug 21, 2021",1.000590,1.000919,1.000101,1.000710,1.000710,"77,546,194,009",USDT-USD
"Aug 20, 2021",0.999778,1.000730,0.999603,1.000668,1.000668,"75,007,653,647",USDT-USD
"Aug 19, 2021",1.000500,1.000685,0.999367,0.999685,0.999685,"79,535,190,853",USDT-USD
"Aug 18, 2021",1.000164,1.000730,1.000084,1.000474,1.000474,"79,562,378,117",USDT-USD
"Aug 17, 2021",1.000387,1.000613,1.000046,1.000219,1.000219,"87,487,581,579",USDT-USD
"Aug 16, 2021",1.000568,1.001063,0.999831,1.000438,1.000438,"84,438,013,592",USDT-USD
"Aug 15, 2021",1.000689,1.001529,1.000132,1.000643,1.000643,"77,556,076,133",USDT-USD
"Aug 14, 2021",1.000186,1.001028,1.000086,1.000586,1.000586,"76,879,764,304",USDT-USD
"Aug 13, 2021",1.000653,1.001048,0.999891,1.000260,1.000260,"73,792,175,888",USDT-USD
"Aug 12, 2021",1.000515,1.001054,0.999936,1.000542,1.000542,"82,791,032,054",USDT-USD
"Aug 11, 2021",1.000275,1.001074,0.999818,1.000535,1.000535,"87,167,321,396",USDT-USD
"Aug 10, 2021",1.000172,1.000913,0.999761,1.000315,1.000315,"74,336,970,320",USDT-USD
"Aug 9, 2021",1.000114,1.000497,0.999992,1.000153,1.000153,"77,735,706,184",USDT-USD
"Aug 8, 2021",1.000538,1.000557,0.999915,1.000249,1.000249,"74,286,538,738",USDT-USD
"Aug 7, 2021",1.000336,1.000747,1.000080,1.000386,1.000386,"83,779,571,867",USDT-USD
